Username,Comments,Discussion Topic
SAHIL ARORA,"DR.SAHIL ARORA HIND HINDI HINDU HINDUSTAN HINDURASHTRA BHARAT INDIA
BELONGS TO ALWAR RAJASTHAN 301001
BIRTHPLACE KRISHNAPURI MATHURA UTTAR PRADESH 281001

FOUNDER ORGANISER PLANNER PROGRAMMER PROTECTOR SOON IIR - INDIAN INSTITUTE OF RESEARCH , IIE - INDIAN INSTITUTE OF ECONOMICS,
III-INDIAN INSTITUTE OF INTELLIGENCE ,IPA- INDIAN POLICE ACADEMY ,FOUNDER SOON HINDU PROTECTION EMPOWERED YOUTH GIRLS WOMEN NATION SECURITY WELFARE OF POLICE SOLDIERS PROTECTION OF TRUE HEARTS DEDICATED INDIAN LEADERS MEMBERS RSS BJP VHP NDA IPA RSP AFFD MYGOV.IN INDIAN CITIZEN GLOBAL CITIZEN IN INDIA WORLD GLOBAL WORLD

FOR NATION FIRST SOLDIERS FIRST INDIA FIRST BHARAT FIRST HINDUSTAN FIRST

JAI HIND VANDEY MATRAM HINDUSTAN BHARAT INDIA MATA KI JAI HO

SATYA MEV JAYTA",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
Sanjay Raghunath sonawane,"Vision of Vikasit bharat2047
Author-Sanjay Raghunath sonawane
Vikasit bharat2047 including all development scheme for india.Honourable prime minister of India Narendra Modi ji established big mission for indian. Vikasit bharat movement is very important for indian. Believe all indian on leadership of prime minister of India Narendra Modi ji.
Honourable prime minister of India Narendra Modi ji is held big organization of Vikasit bharat2047 for empowering of india.Our motto is development of every cast, communities, religion indian. We have need prime minister of India Narendra Modi ji for indian development. Women of india are main big movement for indian people development. Women security, children security, girls security focus in Vikasit bharat2047.
Education, environment, shelter, health, infrastructure, water, electricity, solar energy projects are including in Vikasit bharat2047.
Prime minister of India Narendra Modi ji held big projects.National heighway, metro, bridges.",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
Saumya kanchan,"Good morning to our Hon’ble Prime Minister,

I am a student of Class 10th and I would like to request you to talk about the topic of how Artificial Intelligence (AI) is impacting jobs of multiple people. Even though AI is more of a boon than a curse, as it helps in deep research, studies, healthcare and many other fields, it is also true that AI is taking away people’s jobs. For example, in many companies, AI tools are now being used to write reports and create designs, which earlier required human employees, thus reducing job opportunities.

AI has two sides — it makes work easier and creative, but also replaces some jobs, creating fear of unemployment. Data shows that while many workers enjoy AI, a large number also worry about losing their jobs. If our Hon’ble Prime Minister could share his thoughts and solutions, it would truly guide students like me.

NAME:- Saumya kanchan
CLASS:- 10th
Student of Joseph and Mary public school, Delhi",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
Andaluri Srinivas,"First time crime, exponential increase. Means people are getting into first time crime",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
Andaluri Srinivas,"Most of the crime cases being settled, criminals are not punished . That is why exponential increase of crimes",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"Satyam Raj
",Increase seats in colleges of enginering and increase jobs and take high cutoff fpr all caste,Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
CHANDA NAGARAJU","Dear Modi ji
Bright Morning Symphony  Time is dancing with your inner courage 🌿.
🌞 You are turning waiting into patience and power 🌟.
🌟 Every heartbeat is shaping moments of growth ✨.
🔥 Your wisdom is stretching beyond the limits of clocks 🌺.
*💫 May your day shine like time itself is in your hands 💫.*",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
CHANDA NAGARAJU,"Dear Modi ji
Sub: ban on single used plastics
This pic says thousand words
which is a pond for immersion of Ganesha idols in our town
see this picture, how plastics covers and other plastic materials","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Akshit Bhardwaj,"Respected Hon’ble Prime Minister Shri Narendra Modi ji,

Namaste.

I am a passionate student aspiring to become an IAS officer one day and serve our great nation. I was truly inspired by your recent initiative that allows students to experience One Day as a Scientist. It’s a brilliant way to ignite young minds and fuel their curiosity.

In a similar spirit, I humbly request you to consider starting a program called ""One Day as an IAS Officer"", where students get the opportunity to shadow an IAS officer for a day. This would give us invaluable exposure to the responsibilities and challenges of civil service, and further strengthen our commitment to public service.

I believe this initiative will inspire many young Indians to dream big and work hard to contribute to the nation’s progress.

Thank you for always motivating the youth.

With deep respect,
Yours truly
Akshit Bhardwaj
Class:10th
Student of: Delhi Public School Hapur",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
Prajakata Vishal Deshmukh,We have to need to controle sound pollution in Ganpati chaturthi festivals and so many other festivals because their are many patients in hospitals which are deal with heart problems and vital organ desieases..,Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
SAHIN ZAKIRHUSSEIN KOLIA,"As we can see that india is Growing & Development is so far very good, But in Government sector & Also semi Government sector there is Employees who are taking disadvantage of many illiterate & poor people, which we can consider as (Sosan) which should stop. & There should be Good Behaviour Tranning provided by the Government sector for their Employees. Because now are Days there is politics in all sectors, Streets, Even in the Relations aswell, that should End. Than After We can say that now india is Becoming Best.",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
DEVIPRASAD THIMMAIAH THOTAMBAILU,"Honorable PM Dear Modi,

We need to understand the actual gravity of Export and Import Business how the total loss hapens as we Export to US .
We buy RM from them Duty free.
We buy the Softwere from them to convert that RM like design , system, hardwere etc etc . to concert that RM
we buy machines from various countries .
we buy consumables from them which looses its self life .
we convert to spare part or a part finished
we buy standards from them to convert it to finish goods .
then we pay for their visits
then we send the goods duty free.

we give less salary to our people spoiling the living standard.

we buy doller by paying a fee and rupee falls every year.

actually we lost all these years of hard word

at last we buy finish products from them with lot of cost again using doller .

Now tell how export , import is calcolated ??

unless we see sell finish product that reach consumer directly the export busniss is loss","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
AkashSahoo,"Respected Prime Minister,

I propose creating a dedicated Judicial Security & Enforcement Wing within the CISF. This unit can safeguard judges and courts, protect witnesses under the Witness Protection Scheme, 2018 (approved by the Hon’ble Supreme Court on 5 December 2018), and manage prisoner escort and the tracking of fugitives.

Importantly, this new wing could also provide a natural reemployment pathway for Agniveers, who already have the discipline and training required. By giving them this role, we strengthen our judiciary while also honouring our commitment to India’s young soldiers.

Entrusting these duties to a neutral central force would shield justice from local political or mafia influence and free up the CBI and state police to focus on complex investigations. This reform would ensure justice is secure, fearless, and timely across India.","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"Irrespective of differences, world needs to stay United- Vasudhaiva Kutumbakam- The world is one family","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,State and central citizens Grievance portals are dump yards,"Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"Staff of RTA, Property registrations , revenue department are superrich . Yet take Govt pension","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"Apart from Semiconductors ; India to start producing end to end rather importing CKD and SKD kits in many industrial domains like consumer appliances, electronics, automobile etc",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
KirandebBera,"Subject: Cyber Security Awareness & IT Literacy for School Students

Respected Prime Minister Sir,

India’s students are rapidly going digital but face growing risks of frauds, bullying, misinformation, and identity theft.

SITLCS proposes the Cyber Defence Program – “One Trained Student = One Protected Family”. It includes cyber awareness seminars, IT literacy (from basics to AI), teacher training, and parent workshops.

Even without funding, the program can run through book distribution and exam support in schools.

We seek your support to endorse this as a national model to safeguard youth and empower families under Digital India.

Respectfully,
Kirandeb Bera
Director, SITLCS","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
